H,L,nu,dp,u_b,structured,hmax,order,condense,constitutive,threads,solver,it_max,tol_min,damp_fix,damp_newton,linesearch,inverse,model,tau_y,kappa,law,Velocity,Stress,Strain rate,Pressure,converged?,it
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,1e-05,G1,0.0003491143120743,0.0981146584341304,0.0026690269867333,0.0545467762456589,True,40
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,0.0001,G1,0.0005053368905891,0.0758458536940013,0.0026948868880259,0.0421391080406998,True,38
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,0.001,G1,0.0021949708709919,0.0487628256214345,0.0035604429780798,0.0268879379456664,True,36
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,0.01,G1,0.0193120156823243,0.020874062479897,0.021631041775244,0.0096513050129975,True,35
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,0.1,G1,0.1839872629371458,0.006178359203036,0.2047922441713528,0.0024118276774555,True,33
2.0,1.0,1.0,-2.0,1.0,False,0.125,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,1.0,G1,1.7618645421465469,1.174401950794115e-12,1.957893406993195,3.2669100417515614e-08,True,32
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,1e-08,G1,6.955629709619207e-05,0.083265905743295,0.0008928612167536,0.0495861229193548,True,46
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,1e-07,G1,6.97107944484339e-05,0.0751163173339079,0.0008928642329444,0.044788878784886,True,44
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,1e-06,G1,7.121867539694899e-05,0.0653254526668146,0.0008929443750962,0.0386859655350033,True,43
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,1e-05,G1,8.662761484618642e-05,0.0519174871225954,0.0008938668079244,0.0303814287974474,True,41
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,0.0001,G1,0.0002533504127036,0.0366785202737685,0.0009265077358041,0.0212542914714082,True,39
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,0.001,G1,0.0019706332861359,0.0188960695821216,0.0023534568811533,0.010367662768046,True,37
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,0.01,G1,0.0191108683006231,0.0073377746358066,0.0212930948210174,0.003394810933569,True,35
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,0.1,G1,0.1837981929093236,0.0019111910860132,0.2045768157191408,0.0007911447734332,True,34
2.0,1.0,1.0,-2.0,1.0,False,0.0625,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,1.0,G1,1.761864546170442,4.584591873446498e-13,1.9578892250160016,4.174758927121353e-09,True,32
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,1e-08,G1,2.2044697354513176e-05,0.0484624795898845,0.0003454411613397,0.0289463264238459,True,44
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,1e-07,G1,2.219231420396483e-05,0.0412809114762533,0.0003454347984077,0.024667995335879,True,42
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,1e-06,G1,2.3755812445423195e-05,0.032167420840461,0.0003455763223402,0.018822717090324,True,41
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,1e-05,G1,3.998558008519976e-05,0.0231294301593028,0.0003471482859875,0.0132776099383055,True,40
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,0.0001,G1,0.0002106600675094,0.0153281093863903,0.0004137813705119,0.0088333317606206,True,40
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,0.001,G1,0.0019300295537789,0.0074524004918604,0.0021734987563555,0.0040891244271343,True,37
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,0.01,G1,0.0190713114056184,0.002776521793146,0.0212399124818637,0.0012866482761338,True,36
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,0.1,G1,0.1837531983227769,0.0006980632465984,0.2045286522052953,0.0003268531183197,True,36
2.0,1.0,1.0,-2.0,1.0,False,0.03125,2,True,True,24,newton,80,1e-08,1.0,0.5,none,pardiso,Bingham,1.0,1.0,G1,1.761864540953597,7.436272119514433e-13,1.9578901508768831,1.2268923612143644e-08,True,32
